Count,VehicleName,TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z
1,Drone1,0,0,0,0,1,0,0,0
2,Drone1,0.5,0.5,0,0.5,0.999876,0.015643,0,0
3,Drone1,1,1,0,1,0.999553,0.029552,0,0
4,Drone1,1.5,1.5,0,1.5,0.999024,0.043836,0,0
5,Drone1,2,2,0,2,0.998229,0.059341,0,0
6,Drone1,2.5,2.5,0,2.5,0.997168,0.074504,0,0
7,Drone1,3,3,0,3,0.995849,0.089101,0,0
8,Drone1,3.5,3.5,0,3.5,0.994277,0.103457,0,0
9,Drone1,4,4,0,4,0.992452,0.117578,0,0
10,Drone1,4.5,4.5,0,4.5,0.990384,0.131475,0,0
11,Drone1,5,5,0,5,0.988073,0.145161,0,0
12,Drone1,5.5,5.5,0,5.5,0.985529,0.158646,0,0
13,Drone1,6,6,0,6,0.982753,0.171938,0,0
14,Drone1,6.5,6.5,0,6.5,0.979754,0.185052,0,0
15,Drone1,7,7,0,7,0.976534,0.198,0,0
16,Drone1,7.5,7.5,0,7.5,0.973099,0.210795,0,0
17,Drone1,8,8,0,8,0.969459,0.223442,0,0
18,Drone1,8.5,8.5,0,8.5,0.965615,0.235947,0,0
19,Drone1,9,9,0,9,0.96157,0.248316,0,0
20,Drone1,9.5,9.5,0,9.5,0.957329,0.260552,0,0
21,Drone1,10,10,0,10,0.9529,0.27266,0,0
22,Drone1,10.5,10.5,0,10.5,0.948292,0.284645,0,0
23,Drone1,11,11,0,11,0.94351,0.29651,0,0
24,Drone1,11.5,11.5,0,11.5,0.938561,0.30826,0,0
25,Drone1,12,12,0,12,0.93345,0.319901,0,0
26,Drone1,12.5,12.5,0,12,0.93345,0.319901,0,0
27,Drone1,13,13,0,12,0.93345,0.319901,0,0
28,Drone1,13.5,13.5,0,12,0.93345,0.319901,0,0
29,Drone1,14,14,0,12,0.93345,0.319901,0,0
30,Drone1,14.5,14.5,0,12,0.93345,0.319901,0,0
31,Drone1,15,15,0,12,0.93345,0.319901,0,0
32,Drone1,15.5,15,0.5,12,0.93345,0.319901,0,0
33,Drone1,16,15,1,12,0.93345,0.319901,0,0
34,Drone1,16.5,15,1.5,12,0.93345,0.319901,0,0
35,Drone1,17,15,2,12,0.93345,0.319901,0,0
36,Drone1,17.5,15,2.5,12,0.93345,0.319901,0,0
37,Drone1,18,15,3,12,0.93345,0.319901,0,0
38,Drone1,18.5,15,3.5,12,0.93345,0.319901,0,0
39,Drone1,19,15,4,12,0.93345,0.319901,0,0
40,Drone1,19.5,15,4.5,12,0.93345,0.319901,0,0
41,Drone1,20,15,5,12,0.93345,0.319901,0,0
42,Drone1,20.5,15,5.5,12,0.93345,0.319901,0,0
43,Drone1,21,15,6,12,0.93345,0.319901,0,0
44,Drone1,21.5,15,6.5,12,0.93345,0.319901,0,0
45,Drone1,22,15,7,12,0.93345,0.319901,0,0
46,Drone1,22.5,15,7.5,12,0.93345,0.319901,0,0
47,Drone1,23,15,8,12,0.93345,0.319901,0,0
48,Drone1,23.5,15,8.5,12,0.93345,0.319901,0,0
49,Drone1,24,15,9,12,0.93345,0.319901,0,0
50,Drone1,24.5,15,9.5,12,0.93345,0.319901,0,0
51,Drone1,25,15,10,12,0.93345,0.319901,0,0
52,Drone1,25.5,15,10.5,12,0.93345,0.319901,0,0
53,Drone1,26,15,11,12,0.93345,0.319901,0,0
54,Drone1,26.5,15,11.5,12,0.93345,0.319901,0,0
55,Drone1,27,15,12,12,0.93345,0.319901,0,0
56,Drone1,27.5,15,12.5,12,0.93345,0.319901,0,0
57,Drone1,28,15,13,12,0.93345,0.319901,0,0
58,Drone1,28.5,15,13.5,12,0.93345,0.319901,0,0
59,Drone1,29,15,14,12,0.93345,0.319901,0,0
60,Drone1,29.5,15,14.5,12,0.93345,0.319901,0,0
61,Drone1,30,15,15,12,0.93345,0.319901,0,0
62,Drone1,30.5,15,15,11.5,0.93345,0.319901,0,0
63,Drone1,31,15,15,11,0.93345,0.319901,0,0
64,Drone1,31.5,15,15,10.5,0.93345,0.319901,0,0
65,Drone1,32,15,15,10,0.93345,0.319901,0,0
66,Drone1,32.5,15,15,9.5,0.93345,0.319901,0,0
67,Drone1,33,15,15,9,0.93345,0.319901,0,0
68,Drone1,33.5,15,15,8.5,0.93345,0.319901,0,0
69,Drone1,34,15,15,8,0.93345,0.319901,0,0
70,Drone1,34.5,15,15,7.5,0.93345,0.319901,0,0
71,Drone1,35,15,15,7,0.93345,0.319901,0,0
72,Drone1,35.5,15,15,6.5,0.93345,0.319901,0,0
73,Drone1,36,15,15,6,0.93345,0.319901,0,0
74,Drone1,36.5,15,15,5.5,0.93345,0.319901,0,0
75,Drone1,37,15,15,5,0.93345,0.319901,0,0
76,Drone1,37.5,15,15,4.5,0.93345,0.319901,0,0
77,Drone1,38,15,15,4,0.93345,0.319901,0,0
78,Drone1,38.5,15,15,3.5,0.93345,0.319901,0,0
79,Drone1,39,15,15,3,0.93345,0.319901,0,0
80,Drone1,39.5,15,15,2.5,0.93345,0.319901,0,0
81,Drone1,40,15,15,2,0.93345,0.319901,0,0
82,Drone1,40.5,15,15,1.5,0.93345,0.319901,0,0
83,Drone1,41,15,15,1,0.93345,0.319901,0,0
84,Drone1,41.5,15,15,0.5,0.93345,0.319901,0,0
85,Drone1,42,15,15,0,0.93345,0.319901,0,0
