Count,VehicleName,TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z
1,Drone1,0,28.624,-17.0189,44.5963,0.0117795,-0.000976095,-0.0830484,0.996475
2,Drone2,0.5,0,0,51.6174,1,0,0,0
3,Drone1,1,28.6131,-17.4796,44.5252,0.0118074,-0.000549221,-0.0466869,0.99884
4,Drone1,1.5,28.6077,-17.7063,44.5084,0.0118172,-0.000270829,-0.0230185,0.999665
5,Drone1,2,28.602,-17.9475,44.4461,0.0117872,0.000883588,0.0746959,0.997136
6,Drone1,2.5,28.5882,-18.5327,44.3853,0.0118092,0.000510958,0.0431956,0.998997
7,Drone1,3,28.5701,-19.2993,44.371,0.0118173,0.000261336,0.0220992,0.999686
8,Drone1,3.5,28.5487,-20.2017,44.3688,0.0118195,0.000131734,0.0111369,0.999868
9,Drone1,4,28.5267,-21.1338,44.3696,0.01182,7.15E-05,0.0060437,0.999912
10,Drone1,4.5,28.5033,-22.1247,44.3709,0.0118201,4.20E-05,0.00355668,0.999924
11,Drone1,5,28.4806,-23.0804,44.3721,0.0118202,2.88E-05,0.00244106,0.999927
12,Drone1,5.5,28.4571,-24.0767,44.3734,0.0118202,2.23E-05,0.00189033,0.999928
13,Drone1,6,28.434,-25.0579,44.3747,0.0118202,1.94E-05,0.00163931,0.999929
14,Drone1,6.5,28.4103,-26.064,44.376,0.0118202,1.79E-05,0.00151754,0.999929
15,Drone1,7,28.3875,-27.0351,44.3772,0.0118202,1.73E-05,0.00146226,0.999929
16,Drone1,7.5,28.364,-28.036,44.3785,0.0118202,1.70E-05,0.00143535,0.999929
17,Drone1,8,28.3411,-29.0075,44.3798,0.0118202,1.68E-05,0.00142302,0.999929
18,Drone1,8.5,28.3174,-30.0147,44.3811,0.0118202,1.67E-05,0.00141699,0.999929
19,Drone1,9,28.2945,-30.9922,44.3823,0.0118202,1.67E-05,0.00141422,0.999929
20,Drone1,9.5,28.2708,-31.9993,44.3836,0.0118202,1.67E-05,0.00141288,0.999929
21,Drone1,10,28.2481,-32.9649,44.3849,0.0118202,1.67E-05,0.0014124,0.999929
22,Drone1,10.5,28.2247,-33.9602,44.3862,0.0118202,1.67E-05,0.00141239,0.999929
23,Drone1,11,28.2016,-34.9436,44.3874,0.0118169,-0.000279429,-0.0236383,0.999651
24,Drone1,11.5,28.1823,-35.761,44.2758,0.0117829,-0.000938023,-0.0793512,0.996777
25,Drone1,12,28.09,-36.1805,44.216,0.00927988,-0.00242831,-0.0431903,0.999021
26,Drone1,12.5,27.9593,-36.3919,44.2238,0.0100299,-0.0126182,-0.0210934,0.999648
27,Drone1,13,27.8896,-36.4924,44.2343,0.0100629,-0.00698033,-0.0103014,0.999872
28,Drone1,13.5,27.8547,-36.5418,44.2431,0.0100627,-0.00341712,-0.00494895,0.999931
29,Drone1,14,27.8379,-36.5655,44.2493,0.010062,-0.00164509,-0.00237426,0.999945
30,Drone1,14.5,27.8299,-36.5768,44.2535,0.0100618,-0.00079993,-0.00115308,0.999948
31,Drone1,15,27.7735,-36.5811,44.1757,0.00985783,0.128947,-0.00180475,0.991601
32,Drone1,15.5,27.2146,-36.5724,43.9736,0.00994857,-0.027634,2.79E-05,0.999569
33,Drone1,16,26.6514,-36.5625,43.9459,0.00992324,0.0659,-0.00078831,0.997777
34,Drone1,16.5,25.864,-36.5474,43.8296,0.00990923,0.0732594,-0.000782571,0.997263
35,Drone1,17,24.7751,-36.526,43.7852,0.00992766,0.0396632,-0.000418723,0.999164
36,Drone1,17.5,23.4483,-36.4997,43.776,0.00993348,0.0201776,-0.000212421,0.999747
37,Drone1,18,22.0693,-36.4724,43.7759,0.00993491,0.011096,-0.000116159,0.999889
38,Drone1,18.5,20.6218,-36.4436,43.7775,0.00993534,0.00672552,-6.97E-05,0.999928
39,Drone1,19,19.18,-36.415,43.7794,0.00993549,0.00470908,-4.82E-05,0.99994
40,Drone1,19.5,17.8426,-36.3884,43.6163,0.00985308,-0.128755,0.00127864,0.991627
41,Drone1,20,17.1037,-36.374,43.4816,0.0430395,-0.102793,-0.000936395,0.993771
42,Drone1,20.5,16.7661,-36.3706,43.4662,0.124918,-0.0330982,-0.00374575,0.991608
43,Drone1,21,16.6239,-36.3702,43.4781,0.208644,-0.0145982,-0.00299266,0.977878
44,Drone1,21.5,16.5559,-36.3706,43.489,0.293141,-0.0066314,-0.00200501,0.956044
45,Drone1,22,16.5239,-36.3712,43.4965,0.375505,-0.0030028,-0.00123448,0.926815
