Count,VehicleName,TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z
1,Drone1,0,0,0,0,1,0,0,0
2,Drone1,0.5,0,0,0.2,0.999876,0.015643,0,0
3,Drone1,1,0,0,0.5,0.999553,0.029552,0,0
4,Drone1,1.5,0,0,1,0.999024,0.043836,0,0
5,Drone1,2,0,0,1.5,0.998229,0.059341,0,0
6,Drone1,2.5,0.2,0,2,0.997168,0.074504,0,0
7,Drone1,3,0.5,0,2.5,0.995849,0.089101,0,0
8,Drone1,3.5,1,0,3,0.994277,0.103457,0,0
9,Drone1,4,1.5,0,3.5,0.992452,0.117578,0,0
10,Drone1,4.5,2,0,4,0.990384,0.131475,0,0
11,Drone1,5,2.5,0,4.5,0.988073,0.145161,0,0
12,Drone1,5.5,3,0,5,0.985529,0.158646,0,0
13,Drone1,6,3.5,0,5.5,0.982753,0.171938,0,0
14,Drone1,6.5,4,0,6,0.979754,0.185052,0,0
15,Drone1,7,4.5,0,6.5,0.976534,0.198,0,0
16,Drone1,7.5,5,0,7,0.973099,0.210795,0,0
17,Drone1,8,5.5,0,7.5,0.969459,0.223442,0,0
18,Drone1,8.5,6,0,8,0.965615,0.235947,0,0
19,Drone1,9,6.5,0,8.5,0.96157,0.248316,0,0
20,Drone1,9.5,7,0,9,0.957329,0.260552,0,0
21,Drone1,10,7.5,0,9.5,0.9529,0.27266,0,0
22,Drone1,10.5,8,0,10,0.948292,0.284645,0,0
23,Drone1,11,8.5,0,10,0.94351,0.29651,0,0
24,Drone1,11.5,9,0,9.5,0.938561,0.30826,0,0
25,Drone1,12,9.5,0,9,0.93345,0.319901,0,0
26,Drone1,12.5,10,0,8,0.93345,0.319901,0,0
27,Drone1,13,10.5,0,7,0.93345,0.319901,0,0
28,Drone1,13.5,11,0,6,0.93345,0.319901,0,0
29,Drone1,14,11.5,0,5,0.93345,0.319901,0,0
30,Drone1,14.5,12,0,4,0.93345,0.319901,0,0
31,Drone1,15,12.5,0,3,0.93345,0.319901,0,0
32,Drone1,15.5,13,0,2,0.93345,0.319901,0,0
33,Drone1,16,13.5,0,1,0.93345,0.319901,0,0
34,Drone1,16.5,14,0,0.5,0.93345,0.319901,0,0
35,Drone1,17,14.5,0,0.2,0.93345,0.319901,0,0
36,Drone1,17.5,15,0,0,1,0,0,0
